issue_id,legacy_proposal_id,current_proposal_id,issue_type,severity,field_name,legacy_value,current_value,recommended_action
QA-0001,LP-2023-00010,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0002,LP-2026-00051,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0003,LP-2024-00143,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0004,LP-2023-00149,EP2-000149,UNMAPPED_STATUS,Medium,proposal_status,CLS,LEGACY_ONLY,Add or correct the workflow status mapping before publication.
QA-0005,LP-2025-00200,EP2-000200,REQUEST_AMOUNT_MISMATCH,High,requested_amount,86200.00,87200.00,Reconcile amount transformations and confirm currency/rounding logic.
QA-0006,LP-2023-00232,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0007,LP-2023-00251,EP2-000251,INVALID_SPONSOR,Medium,sponsor_id,Advanced Technology Agency,S999,Resolve the sponsor identifier against the sponsor master table.
QA-0008,LP-2025-00294,EP2-000294,DUPLICATE_RECORD,High,record,1 source record,2 target records,Retain the latest valid record and review the upstream merge key.
QA-0009,LP-2026-00329,EP2-000329,MISSING_INVESTIGATOR,High,investigator_id,I1005,NULL,Restore the researcher key using the investigator crosswalk.
QA-0010,LP-2024-00378,,MISSING_MIGRATION,Critical,record,Present,Missing,Re-run migration for the missing proposal and validate the source extract window.
QA-0011,LP-2026-00414,EP2-000414,INVALID_SPONSOR,Medium,sponsor_id,Department of Public Health,S999,Resolve the sponsor identifier against the sponsor master table.
QA-0012,LP-2025-00425,EP2-000425,UNMAPPED_STATUS,Medium,proposal_status,AWD,LEGACY_ONLY,Add or correct the workflow status mapping before publication.
QA-0013,LP-2026-00463,EP2-000463,REQUEST_AMOUNT_MISMATCH,High,requested_amount,70600.00,73100.00,Reconcile amount transformations and confirm currency/rounding logic.
QA-0014,LP-2025-00513,EP2-000513,REQUEST_AMOUNT_MISMATCH,High,requested_amount,198900.00,201400.00,Reconcile amount transformations and confirm currency/rounding logic.
QA-0015,LP-2024-00568,EP2-000568,INVALID_COLLEGE,Medium,college_code,College of Social Innovation,ZZZ,Resolve the organization code against the college crosswalk.
